Arquivo contendo os pontos amostrais do interferÔmetro de Michelson,,,
Data:,,8\10\2019,
Hora:,,8:53:34,
Quantidade de franjas:,,0,
ponto,tempo,leitura,marcação
517,26040,19,0
518,26123,19,0
519,26158,61,0
520,26208,61,0
521,26266,78,0
522,26329,78,0
523,26362,78,0
524,26406,71,0
525,26541,71,0
526,26558,35,0
527,26598,15,0
528,26671,15,0
529,26745,15,0
530,26773,52,0
531,26804,52,0
532,26864,76,0
533,26935,76,0
534,26959,76,0
535,26998,72,0
536,27045,72,0
537,27087,40,0
538,27170,40,0
539,27198,14,0
540,27262,14,0
541,27304,14,0
542,27358,39,0
543,27394,39,0
544,27422,39,0
545,27463,73,0
546,27617,73,0
547,27646,74,0
548,27678,42,0
549,27753,42,0
550,27786,42,0
551,27829,16,0
552,27860,16,0
553,27904,16,0
554,27946,55,0
555,28052,55,0
556,28081,76,0
557,28119,76,0
558,28216,71,71
559,28263,71,0
560,28298,36,0
561,28328,36,0
562,28366,36,0
563,28415,16,0
564,28483,16,0
565,28518,53,0
566,28569,53,0
567,28622,53,0
568,28657,76,0
569,28698,76,0
570,28732,76,0
571,28793,69,0
572,28885,69,0
573,28920,28,0
574,28958,28,0
575,29033,27,0
576,29120,27,0
577,29157,64,0
578,29210,64,0
579,29266,78,0
580,29328,78,0
581,29363,67,0
582,29397,67,0
583,29469,67,0
584,29541,29,0
585,29561,29,0
586,29598,18,0
587,29679,18,0
588,29734,18,0
589,29768,54,0
590,29797,54,0
591,29870,76,0
592,29956,76,0
593,29991,76,0
594,30021,76,0
595,30102,76,0
596,30171,52,0
597,30206,52,0
598,30254,16,0
599,30332,16,0
600,30365,34,0
601,30420,34,0
602,30450,69,0
603,30535,69,0
604,30570,77,0
605,30613,77,0
606,30643,77,0
607,30678,57,0
608,30777,57,0
609,30813,19,0
610,30863,19,0
611,30891,19,0
612,30951,27,0
613,31020,27,0
614,31042,65,0
615,31086,65,0
616,31164,65,0
617,31226,77,0
618,31271,77,0
619,31301,66,0
620,31397,66,0
621,31432,25,0
622,31471,25,0
623,31521,25,0
624,31545,36,0
625,31658,36,0
626,31698,71,0
627,31728,71,0
628,31774,74,0
629,31877,74,0
630,31896,46,0
631,31918,46,0
632,31959,46,0
633,32020,15,0
634,32094,15,0
635,32119,47,0
636,32158,47,0
637,32229,47,0
638,32299,75,0
639,32326,75,0
640,32357,73,0
641,32436,73,0
642,32505,73,73
643,32521,43,0
644,32559,43,0
645,32627,16,0
646,32706,16,0
647,32727,53,0
648,32763,53,0
649,32810,53,0
650,32884,76,0
651,32933,76,0
652,32958,71,0
653,32998,71,0
654,33082,71,0
655,33139,37,0
656,33176,37,0
657,33212,16,0
658,33296,16,0
659,33351,48,0
660,33383,48,0
661,33429,48,0
662,33506,74,0
663,33561,74,0
664,33611,76,0
665,33649,76,0
666,33712,58,0
667,33767,58,0
668,33798,21,0
669,33840,21,0
